zona,llenado_ayer,dia_semana_mañana,feria_ayer,num_contenedores,topografia,clima_mañana,bloqueo_ayer,llenado_mañana_real
15,13,6,0,28,2,0,0,21
14,79,1,1,29,0,1,0,96
4,81,2,1,35,1,1,0,100
21,64,3,0,24,2,0,0,78
44,23,1,0,11,0,0,0,27
78,43,7,0,1,2,1,0,56
11,80,3,1,30,0,0,0,91
30,47,1,0,18,2,0,0,55
47,30,3,0,10,0,0,1,26
10,87,6,0,30,1,0,0,93
35,91,6,1,16,0,0,1,100
5,50,4,0,35,1,0,0,59
73,50,2,0,2,1,1,1,55
72,78,3,1,2,2,1,0,100
66,73,1,0,4,2,0,0,82
55,86,1,0,7,1,1,0,98
71,11,6,0,2,0,0,1,9
21,68,1,0,24,2,0,0,82
39,91,5,1,14,2,0,0,100
68,10,5,0,3,0,1,0,17
40,40,1,0,13,1,0,0,46
9,78,7,0,30,2,0,1,84
34,77,7,1,16,1,1,0,100
40,61,6,0,13,1,1,0,70
9,53,1,1,30,2,0,0,71
8,39,1,0,31,0,0,0,43
36,95,4,0,15,2,0,1,100
61,41,7,0,5,1,1,0,51
46,64,4,0,10,1,0,1,64
8,61,6,0,31,0,0,0,64
69,67,2,0,3,2,0,0,75
10,66,7,1,30,1,0,0,85
2,21,7,0,44,0,0,0,25
28,61,1,0,18,1,1,0,73
59,46,4,1,6,0,1,0,61
70,17,6,0,3,1,0,0,22
65,77,2,0,4,0,0,0,79
9,40,4,0,30,2,0,0,52
11,63,6,1,30,0,0,0,79
31,43,4,0,18,1,0,0,48
10,11,4,1,30,1,0,0,29
17,54,1,0,27,0,0,0,57
70,48,5,1,3,1,0,1,58
18,43,1,0,26,2,0,0,52
27,53,2,0,19,2,1,0,73
12,91,4,0,30,2,0,0,100
17,91,3,0,27,0,1,0,100
15,19,6,0,28,2,0,0,31
19,65,2,0,26,1,0,0,73
6,55,2,0,33,2,0,0,69
53,89,6,0,7,0,0,0,93
23,62,1,0,23,0,0,0,66
32,44,2,0,18,0,1,0,52
59,54,3,0,6,0,0,0,57
52,52,3,0,8,1,0,0,57
52,78,3,0,8,1,0,0,82
34,14,1,1,16,1,1,0,37
66,24,4,1,4,2,0,0,41
67,78,6,0,3,1,0,0,81
43,89,3,0,12,1,0,0,93
53,51,4,0,7,0,0,0,54
49,32,5,1,9,1,0,0,45
37,36,4,1,15,1,0,0,54
66,70,7,0,4,2,0,0,78
43,21,7,0,12,1,0,0,27
19,13,1,0,26,1,1,0,24
54,90,5,0,7,2,1,0,100
1,23,7,0,46,1,0,0,32
67,69,1,1,3,1,0,0,87
68,81,5,0,3,0,1,0,92
55,80,4,0,7,1,1,0,88
36,76,4,0,15,2,0,0,83
37,40,3,0,15,1,0,0,44
20,39,4,0,24,0,0,0,42
43,79,4,0,12,1,0,0,85
50,84,6,0,9,0,1,0,90
50,63,5,1,9,0,0,0,76
4,59,3,0,35,1,0,0,68
69,13,4,1,3,2,0,0,30
60,33,1,0,6,2,1,0,44
49,45,7,0,9,1,0,0,50
70,16,3,0,3,1,0,1,16
32,35,7,0,18,0,0,0,37
15,82,2,0,28,2,0,0,91
78,24,7,0,1,2,0,0,32
40,83,6,0,13,1,1,1,87
32,23,6,0,18,0,0,0,27
45,78,4,0,10,2,0,0,88
2,63,7,0,44,0,0,0,69
59,29,4,0,6,0,0,0,32
69,71,4,0,3,2,0,0,81
12,45,4,0,30,2,1,0,62
4,73,7,0,35,1,0,0,79
34,53,3,1,16,1,0,0,71
11,40,6,0,30,0,1,0,51
63,67,7,0,4,2,0,0,73
32,49,6,1,18,0,0,0,63
71,52,3,0,2,0,0,0,54
16,34,3,0,27,1,0,0,39
62,45,6,1,5,0,0,0,59
47,32,3,0,10,0,0,0,34
7,80,3,0,31,1,1,0,94
61,71,4,0,5,1,0,0,75
62,24,7,0,5,0,1,0,32
7,29,2,1,31,1,0,0,47
54,87,5,1,7,2,0,0,100
39,85,4,0,14,2,0,0,97
13,36,6,0,29,1,0,1,37
71,19,2,0,2,0,1,0,27
5,39,3,0,35,1,1,0,54
76,94,7,0,1,1,1,0,100
35,28,1,0,16,0,0,0,31
73,46,4,0,2,1,1,1,51
70,73,4,0,3,1,0,0,78
78,42,1,0,1,2,0,1,46
3,44,5,0,37,2,0,0,57
57,45,2,1,7,2,1,1,71
42,95,1,0,12,2,0,0,100
37,94,4,1,15,1,0,0,100
15,61,7,1,28,2,0,1,83
67,56,5,0,3,1,1,0,65
37,66,6,0,15,1,0,0,73
78,40,6,0,1,2,0,0,45
53,21,2,0,7,0,1,0,28
38,75,6,0,15,0,1,0,84
71,28,4,0,2,0,0,0,30
54,53,7,1,7,2,0,0,70
76,84,6,0,1,1,0,0,88
45,52,5,1,10,2,1,0,85
31,83,4,0,18,1,1,0,93
49,59,6,0,9,1,1,0,71
43,22,7,0,12,1,0,0,29
2,28,4,0,44,0,0,0,34
34,53,5,0,16,1,0,0,60
69,58,3,0,3,2,0,0,64
37,39,6,0,15,1,1,0,52
13,66,2,0,29,1,0,0,72
8,47,3,0,31,0,1,0,55
24,31,2,0,22,2,1,0,48
75,28,2,0,1,2,0,0,34
2,69,3,1,44,0,0,0,84
76,48,6,0,1,1,0,0,53
26,59,7,0,19,0,0,0,62
46,83,3,0,10,1,0,1,85
7,87,6,0,31,1,0,0,94
